person_verse_id,reference_id,person_label_id,person_id,person_label,person_label_count,person_verse_sequence,person_verse_notes
GEN 1:1__G-d_1__G-d_1_1,GEN 1:1,G-d_1_1,G-d_1,G-d,1,1,
GEN 1:2__G-d_1__G-d_1_1,GEN 1:2,G-d_1_1,G-d_1,G-d,1,2,
GEN 1:3__G-d_1__G-d_1_1,GEN 1:3,G-d_1_1,G-d_1,G-d,1,3,
GEN 1:4__G-d_1__G-d_1_1,GEN 1:4,G-d_1_1,G-d_1,G-d,1,4,
GEN 1:5__G-d_1__G-d_1_1,GEN 1:5,G-d_1_1,G-d_1,G-d,1,5,
GEN 1:6__G-d_1__G-d_1_1,GEN 1:6,G-d_1_1,G-d_1,G-d,1,6,
GEN 1:7__G-d_1__G-d_1_1,GEN 1:7,G-d_1_1,G-d_1,G-d,1,7,
GEN 1:8__G-d_1__G-d_1_1,GEN 1:8,G-d_1_1,G-d_1,G-d,1,8,
GEN 1:9__G-d_1__G-d_1_1,GEN 1:9,G-d_1_1,G-d_1,G-d,1,9,
GEN 1:10__G-d_1__G-d_1_1,GEN 1:10,G-d_1_1,G-d_1,G-d,1,10,
GEN 1:11__G-d_1__G-d_1_1,GEN 1:11,G-d_1_1,G-d_1,G-d,1,11,
GEN 1:12__G-d_1__G-d_1_1,GEN 1:12,G-d_1_1,G-d_1,G-d,1,12,
GEN 1:13__NA__NA,GEN 1:13,NA,NA,NA,,13,
GEN 1:14__G-d_1__G-d_1_1,GEN 1:14,G-d_1_1,G-d_1,G-d,1,14,
GEN 1:15__NA__NA,GEN 1:15,NA,NA,NA,,15,
GEN 1:16__G-d_1__G-d_1_1,GEN 1:16,G-d_1_1,G-d_1,G-d,1,16,
GEN 1:17__G-d_1__G-d_1_1,GEN 1:17,G-d_1_1,G-d_1,G-d,1,17,
GEN 1:18__G-d_1__G-d_1_1,GEN 1:18,G-d_1_1,G-d_1,G-d,1,18,
GEN 1:19__NA__NA,GEN 1:19,NA,NA,NA,,19,
GEN 1:20__G-d_1__G-d_1_1,GEN 1:20,G-d_1_1,G-d_1,G-d,1,20,
GEN 1:21__G-d_1__G-d_1_1,GEN 1:21,G-d_1_1,G-d_1,G-d,1,21,
GEN 1:22__G-d_1__G-d_1_1,GEN 1:22,G-d_1_1,G-d_1,G-d,1,22,
GEN 1:23__NA__NA,GEN 1:23,NA,NA,NA,,23,
GEN 1:24__G-d_1__G-d_1_1,GEN 1:24,G-d_1_1,G-d_1,G-d,1,24,
GEN 1:25__G-d_1__G-d_1_1,GEN 1:25,G-d_1_1,G-d_1,G-d,1,25,
GEN 1:26__G-d_1__G-d_1_1,GEN 1:26,G-d_1_1,G-d_1,G-d,1,26,
GEN 1:27__G-d_1__G-d_1_1,GEN 1:27,G-d_1_1,G-d_1,G-d,1,27,
GEN 1:28__G-d_1__G-d_1_1,GEN 1:28,G-d_1_1,G-d_1,G-d,1,28,
