person_relationship_id,person_relationship_sequence,person_id_1,relationship_type,person_id_2,relationship_category,reference_id,relationship_notes
G-d_1:Adam_1:1,1,G-d_1,Creator,Adam_1,explicit,GEN 2:7,
Adam_1:G-d_1:2,2,Adam_1,creation,G-d_1,inferred,GEN 2:7,
Adam_1:Eve_1:3,3,Adam_1,husband,Eve_1,explicit,GEN 3:6,
Eve_1:Adam_1:4,4,Eve_1,wife,Adam_1,explicit,GEN 2:25,
Adam_1:Cain_1:5,5,Adam_1,father,Cain_1,inferred,GEN 4:1,
Cain_1:Adam_1:6,6,Cain_1,son,Adam_1,inferred,GEN 4:1,
Eve_1:Cain_1:7,7,Eve_1,mother,Cain_1,explicit,GEN 4:1,
Cain_1:Eve_1:8,8,Cain_1,son,Eve_1,inferred,GEN 4:1,
Adam_1:Abel_1:9,9,Adam_1,father,Abel_1,inferred,GEN 4:2,
Abel_1:Adam_1:10,10,Abel_1,son,Adam_1,inferred,GEN 4:2,
Eve_1:Abel_1:11,11,Eve_1,mother,Abel_1,explicit,GEN 4:2,
Abel_1:Eve_1:12,12,Abel_1,son,Eve_1,inferred,GEN 4:2,
Cain_1:Abel_1:13,13,Cain_1,brother,Abel_1,explicit,GEN 4:2,
Abel_1:Cain_1:14,14,Abel_1,brother,Cain_1,explicit,GEN 4:2,
Cain_1:Abel_1:15,15,Cain_1,killer,Abel_1,explicit,GEN 4:8,
Abel_1:Cain_1:16,16,Abel_1,killed by,Cain_1,inferred,GEN 4:8,
Cain_1:Enoch_1:17,17,Cain_1,father,Enoch_1,explicit,GEN 4:17,
Enoch_1:Cain_1:18,18,Enoch_1,son,Cain_1,inferred,GEN 4:17,
Enoch_1:Irad_1:19,19,Enoch_1,father,Irad_1,explicit,GEN 4:18,
Irad_1:Enoch_1:20,20,Irad_1,son,Enoch_1,inferred,GEN 4:18,
Irad_1:Mehujael_1:21,21,Irad_1,father,Mehujael_1,explicit,GEN 4:18,
Mehujael_1:Irad_1:22,22,Mehujael_1,son,Irad_1,inferred,GEN 4:18,
Mehujael_1:Methushael_1:23,23,Mehujael_1,father,Methushael_1,explicit,GEN 4:18,
Methushael_1:Mehujael_1:24,24,Methushael_1,son,Mehujael_1,inferred,GEN 4:18,
Methushael_1:Lamech_1:25,25,Methushael_1,father,Lamech_1,explicit,GEN 4:18,
Lamech_1:Methushael_1:26,26,Lamech_1,son,Methushael_1,inferred,GEN 4:18,
Lamech_1:Adah_1:27,27,Lamech_1,husband,Adah_1,inferred,GEN 4:19,
Adah_1:Lamech_1:28,28,Adah_1,wife,Lamech_1,explicit,GEN 4:19,
Lamech_1:Zillah_1:29,29,Lamech_1,husband,Zillah_1,inferred,GEN 4:19,
Zillah_1:Lamech_1:30,30,Zillah_1,wife,Lamech_1,explicit,GEN 4:19,
Lamech_1:Jabal_1:31,31,Lamech_1,father,Jabal_1,inferred,GEN 4:20,
Jabal_1:Lamech_1:32,32,Jabal_1,son,Lamech_1,inferred,GEN 4:20,
Adah_1:Jabal_1:33,33,Adah_1,mother,Jabal_1,explicit,GEN 4:20,
Jabal_1:Adah_1:34,34,Jabal_1,son,Adah_1,inferred,GEN 4:20,
Lamech_1:Jubal_1:35,35,Lamech_1,father,Jubal_1,inferred,GEN 4:21,
Jubal_1:Lamech_1:36,36,Jubal_1,son,Lamech_1,inferred,GEN 4:21,
Adah_1:Jubal_1:37,37,Adah_1,mother,Jubal_1,explicit,GEN 4:21,
Jubal_1:Adah_1:38,38,Jubal_1,son,Adah_1,inferred,GEN 4:21,
Lamech_1:Tubal-cain_1:39,39,Lamech_1,father,Tubal-cain_1,inferred,GEN 4:22,
Tubal-cain_1:Lamech_1:40,40,Tubal-cain_1,son,Lamech_1,inferred,GEN 4:22,
Zillah_1:Tubal-cain_1:41,41,Zillah_1,mother,Tubal-cain_1,explicit,GEN 4:22,
Tubal-cain_1:Zillah_1:42,42,Tubal-cain_1,son,Zillah_1,inferred,GEN 4:22,
Lamech_1:Naamah_1:43,43,Lamech_1,father,Naamah_1,inferred,GEN 4:22,
Naamah_1:Lamech_1:44,44,Naamah_1,daughter,Lamech_1,inferred,GEN 4:22,
Zillah_1:Naamah_1:45,45,Zillah_1,mother,Naamah_1,inferred,GEN 4:22,
Naamah_1:Zillah_1:46,46,Naamah_1,daughter,Zillah_1,inferred,GEN 4:22,
Tubal-cain_1:Naamah_1:47,47,Tubal-cain_1,brother,Naamah_1,inferred,GEN 4:22,
Naamah_1:Tubal-cain_1:48,48,Naamah_1,sister,Tubal-cain_1,explicit,GEN 4:22,
Adam_1:Seth_1:49,49,Adam_1,father,Seth_1,inferred,GEN 4:25,
Seth_1:Adam_1:50,50,Seth_1,son,Adam_1,inferred,GEN 4:25,
Eve_1:Seth_1:51,51,Eve_1,mother,Seth_1,inferred,GEN 4:25,
Seth_1:Eve_1:52,52,Seth_1,son,Eve_1,inferred,GEN 4:25,
Seth_1:Enosh_1:53,53,Seth_1,father,Enosh_1,inferred,GEN 4:26,
Enosh_1:Seth_1:54,54,Enosh_1,son,Seth_1,explicit,GEN 4:26,
Enosh_1:Kenan_1:55,55,Enosh_1,father,Kenan_1,explicit,GEN 5:9,
Kenan_1:Enosh_1:56,56,Kenan_1,son,Enosh_1,inferred,GEN 5:9,
Kenan_1:Mahalalel_1:57,57,Kenan_1,father,Mahalalel_1,explicit,GEN 5:13,
Mahalalel_1:Kenan_1:58,58,Mahalalel_1,son,Kenan_1,inferred,GEN 5:13,
Mahalalel_1:Jared_1:59,59,Mahalalel_1,father,Jared_1,explicit,GEN 5:15,
Jared_1:Mahalalel_1:60,60,Jared_1,son,Mahalalel_1,inferred,GEN 5:15,
Jared_1:Enoch_2:61,61,Jared_1,father,Enoch_2,explicit,GEN 5:18,
Enoch_2:Jared_1:62,62,Enoch_2,son,Jared_1,inferred,GEN 5:18,
Enoch_2:Methuselah_1:63,63,Enoch_2,father,Methuselah_1,explicit,GEN 5:21,
Methuselah_1:Enoch_2:64,64,Methuselah_1,son,Enoch_2,inferred,GEN 5:21,
Methuselah_1:Lamech_2:65,65,Methuselah_1,father,Lamech_2,explicit,GEN 5:25,
Lamech_2:Methuselah_1:66,66,Lamech_2,son,Methuselah_1,inferred,GEN 5:25,
Lamech_2:Noah_1:67,67,Lamech_2,father,Noah_1,explicit,GEN 5:28,
Noah_1:Lamech_2:68,68,Noah_1,son,Lamech_2,inferred,GEN 5:28,
Noah_1:Japheth_1:69,69,Noah_1,father,Japheth_1,explicit,GEN 5:32,
Japheth_1:Noah_1:70,70,Japheth_1,son,Noah_1,inferred,GEN 5:32,
Noah_1:Shem_1:71,71,Noah_1,father,Shem_1,explicit,GEN 5:32,
Shem_1:Noah_1:72,72,Shem_1,son,Noah_1,inferred,GEN 5:32,
Noah_1:Ham_1:73,73,Noah_1,father,Ham_1,explicit,GEN 5:32,
Ham_1:Noah_1:74,74,Ham_1,son,Noah_1,inferred,GEN 5:32,
Ham_1:Canaan_1:75,75,Ham_1,father,Canaan_1,explicit,GEN 9:18,
Canaan_1:Ham_1:76,76,Canaan_1,son,Ham_1,inferred,GEN 9:18,
Japheth_1:Gomer_1:77,77,Japheth_1,father,Gomer_1,explicit,GEN 10:2,
Gomer_1:Japheth_1:78,78,Gomer_1,son,Japheth_1,inferred,GEN 10:2,
Japheth_1:Magog_1:79,79,Japheth_1,father,Magog_1,explicit,GEN 10:2,
Magog_1:Japheth_1:80,80,Magog_1,son,Japheth_1,inferred,GEN 10:2,
Japheth_1:Madai_1:81,81,Japheth_1,father,Madai_1,explicit,GEN 10:2,
Madai_1:Japheth_1:82,82,Madai_1,son,Japheth_1,inferred,GEN 10:2,
Japheth_1:Javan_1:83,83,Japheth_1,father,Javan_1,explicit,GEN 10:2,
Javan_1:Japheth_1:84,84,Javan_1,son,Japheth_1,inferred,GEN 10:2,
Japheth_1:Tubal_1:85,85,Japheth_1,father,Tubal_1,explicit,GEN 10:2,
Tubal_1:Japheth_1:86,86,Tubal_1,son,Japheth_1,inferred,GEN 10:2,
Japheth_1:Meshech_1:87,87,Japheth_1,father,Meshech_1,explicit,GEN 10:2,
Meshech_1:Japheth_1:88,88,Meshech_1,son,Japheth_1,inferred,GEN 10:2,
Japheth_1:Tiras_1:89,89,Japheth_1,father,Tiras_1,explicit,GEN 10:2,
Tiras_1:Japheth_1:90,90,Tiras_1,son,Japheth_1,inferred,GEN 10:2,
Japheth_1:Elishah_2:91,91,Japheth_1,father,Elishah_2,explicit,GEN 10:2,Only in Rahlf's Septuaginta
Elishah_2:Japheth_1:92,92,Elishah_2,son,Japheth_1,inferred,GEN 10:2,Only in Rahlf's Septuaginta
Gomer_1:Ashkenaz_1:93,93,Gomer_1,father,Ashkenaz_1,explicit,GEN 10:3,
Ashkenaz_1:Gomer_1:94,94,Ashkenaz_1,son,Gomer_1,inferred,GEN 10:3,
Gomer_1:Riphath_1:95,95,Gomer_1,father,Riphath_1,explicit,GEN 10:3,
Riphath_1:Gomer_1:96,96,Riphath_1,son,Gomer_1,inferred,GEN 10:3,
Gomer_1:Togarmah_1:97,97,Gomer_1,father,Togarmah_1,explicit,GEN 10:3,
