person_id,person_name,surname,unique_attribute,sex,tribe,person_notes,name_instance,person_sequence
G-d_1,G-d,,"Holy, Holy, Holy (ISA 6:3) and too many others to fit here",male,,,1,1
Adam_1,Adam,,first man (1CO 15:45),male,,,1,2
Eve_1,Eve,,"first woman, created from Adam (Gen 2:22)",female,,,1,3
Cain_1,Cain,,"first son of Adam (GEN 4:1), cursed from the ground (GEN 4:11)",male,,,1,4
Abel_1,Abel,,"son of Adam(GEN 4:2), first person murdered (GEN 4:8)",male,,,1,5
Enoch_1,Enoch,,son of Cain (GEN 4:17),male,,,1,6
Irad_1,Irad,,son of Enoch (GEN 4:18),male,,,1,7
Mehujael_1,Mehujael,,son of Irad (GEN 4:18),male,,,1,8
Methushael_1,Methushael,,son of Mehujael (GEN 4:18),male,,,1,9
Lamech_1,Lamech,,son of Methushael (GEN 4:18),male,,,1,10
Adah_1,Adah,,wife of Lamech (GEN 4:19),female,,,1,11
Zillah_1,Zillah,,wife of Lamech (GEN 4:19),female,,,1,12
Jabal_1,Jabal,,father of those who dwell in tents and have livestock (GEN 4:20),male,,,1,13
Jubal_1,Jubal,,father of all those who play the lyre and pipe (GEN 4:21),male,,,1,14
Tubal-cain_1,Tubal-cain,,the forger of all implements of bronze and iron (GEN 4:22),male,,,1,15
Naamah_1,Naamah,,sister of Tubal-cain (GEN 4:22),female,,,1,16
Seth_1,Seth,,son of Adam (GEN 4:25),male,,,1,17
Enosh_1,Enosh,,son of Seth (GEN 4:26),male,,,1,18
Kenan_1,Kenan,,son of Enosh (GEN 5:9),male,,,1,19
Mahalalel_1,Mahalalel,,son of Kenan (GEN 5:12),male,,,1,20
Jared_1,Jared,,son of Mahalael (GEN 5:12),male,,,1,21
Enoch_2,Enoch,,son of Jared (GEN 5:18),male,,,2,22
Methuselah_1,Methuselah,,son of Enoch (GEN 5:21),male,,,1,23
Lamech_2,Lamech,,son of Methuselah (GEN 5:25),male,,,2,24
Noah_1,Noah,,son of Lamech (GEN 5:28-29),male,,,1,25
Shem_1,Shem,,son of Noah (GEN 5:32),male,,,1,26
Ham_1,Ham,,son of Noah (GEN 5:32),male,,,1,27
Japheth_1,Japheth,,son of Noah (GEN 5:32),male,,,1,28
Canaan_1,Canaan,,"son of Ham (GEN 9:18), cursed by Noah (GEN 9:25)",male,,,1,29
Gomer_1,Gomer,,son of Japheth (GEN 10:2),male,,,1,30
Magog_1,Magog,,son of Japheth (GEN 10:2),male,,,1,31
Madai_1,Madai,,son of Japheth (GEN 10:2),male,,,1,32
Javan_1,Javan,,son of Japheth (GEN 10:2),male,,,1,33
Tubal_1,Tubal,,son of Japheth (GEN 10:2),male,,,1,34
Meshech_1,Meshech,,son of Japheth (GEN 10:2),male,,,1,35
Tiras_1,Tiras,,son of Japheth (GEN 10:2),male,,,1,36
Ashkenaz_1,Ashkenaz,,son of Gomer (GEN 10:3),male,,,1,37
Riphath_1,Riphath,,son of Gomer (GEN 10:3),male,,,1,38
Togarmah_1,Togarmah,,son of Gomer (GEN 10:3),male,,,1,39
Elishah_1,Elishah,,son of Javan (GEN 10:4),male,,,1,40
Tarshish_1,Tarshish,,son of Javan (GEN 10:4),male,,,1,41
Kittim_1,Kittim,,son of Javan (GEN 10:4),male,,,1,42
Dodanim_1,Dodanim,,son of Javan (GEN 10:4),male,,,1,43
Cush_1,Cush,,son of Ham (GEN 10:6),male,,,1,44
Mizraim_1,Mizraim,,son of Ham (GEN 10:6),male,,,1,45
Put_1,Put,,son of Ham (GEN 10:6),male,,,1,46
Seba_1,Seba,,son of Cush (GEN 10:7),male,,,1,47
Havilah_1,Havilah,,son of Cush (GEN 10:7),male,,,1,48
Sabtah_1,Sabtah,,son of Cush (GEN 10:7),male,,,1,49
Raamah_1,Raamah,,son of Cush (GEN 10:7),male,,,1,50
Sabteca_1,Sabteca,,son of Cush (GEN 10:7),male,,,1,51
Sheba_1,Sheba,,son of Raamah (GEN 10:7),male,,,1,52
Dedan_1,Dedan,,son of Raamah (GEN 10:7),male,,,1,53
Nimrod_1,Nimrod,,"son of Cush (GEN 10:8), a mighty hunter before the LORD (GEN 10:9)",male,,,1,54
Lud_1,Lud,,son of Mizraim (GEN 10:13),male,,,1,55
Anam_1,Anam,,son of Mizraim (GEN 10:13),male,,,1,56
Lehab_1,Lehab,,son of Mizraim (GEN 10:13),male,,,1,57
Naphtuh_1,Naphtuh,,son of Mizraim (GEN 10:13),male,,,1,58
Pathrus_1,Pathrus,,son of Mizraim (GEN 10:14),male,,,1,59
Casluh_1,Casluh,,son of Mizraim-from which come the Philistines (GEN 10:14),male,,,1,60
Caphtor_1,Caphtor,,son of Mizraim (GEN 10:14),male,,,1,61
Sidon_1,Sidon,,son of Canaan (GEN 10:15),male,,,1,62
Heth_1,Heth,,son of Canaan (GEN 10:15),male,Hittite,,1,63
Jebus_1,Jebus,,son of Canaan (GEN 10:15),male,Jebusite,,1,64
Amor_1,Amor,,son of Canaan (GEN 10:15),male,Amorite,,1,65
Girgash_1,Girgash,,son of Canaan (GEN 10:15),male,Girgashite,,1,66
Hivi_1,Hivi,,son of Canaan (GEN 10:15),male,Hivites,,1,67
Ark_1,Ark,,son of Canaan (GEN 10:15),male,Arkite,,1,68
Sini_1,Sini,,son of Canaan (GEN 10:15),male,,,1,69
Arvad_1,Arvad,,son of Canaan (GEN 10:15),male,,,1,70
Zemar_1,Zemar,,son of Canaan (GEN 10:15),male,,,1,71
Hamath_1,Hamath,,son of Canaan (GEN 10:15),male,,,1,72
Eber_1,Eber,,"descendant of Shem (GEN 10:21), son of Shelah (GEN 10:24)",male,,,1,73
Elam_1,Elam,,son of Shem (GEN 10:22),male,,,1,74
Asshur_1,Asshur,,son of Shem (GEN 10:22),male,,,1,75
Arpachshad_1,Arpachshad,,son of Shem (GEN 10:22),male,,,1,76
Lud_2,Lud,,son of Shem (GEN 10:22),male,,,2,77
Aram_1,Aram,,son of Shem (GEN 10:22),male,,,1,78
Uz_1,Uz,,son of Aram (GEN 10:23),male,,,1,79
Hul_1,Hul,,son of Aram (GEN 10:23),male,,,1,80
Gether_1,Gether,,son of Aram (GEN 10:23),male,,,1,81
Mash_1,Mash,,son of Aram (GEN 10:23),male,,,1,82
Shelah_1,Shelah,,"son of Arpachshad (GEN 10:24, GEN 11:12)",male,,,1,83
Peleg_1,Peleg,,"son of Eber, in his days the earth was divided (GEN 10:25)",male,,,1,84
Joktan_1,Joktan,,son of Eber (GEN 10:25),male,,,1,85
Almodad_1,Almodad,,son of Joktan (GEN 10:26),male,,,1,86
Sheleph_1,Sheleph,,son of Joktan (GEN 10:26),male,,,1,87
Hazarmaveth_1,Hazarmaveth,,son of Joktan (GEN 10:26),male,,,1,88
Jerah_1,Jerah,,son of Joktan (GEN 10:26),male,,,1,89
Hadoram_1,Hadoram,,son of Joktan (GEN 10:27),male,,,1,90
Uzal_1,Uzal,,son of Joktan (GEN 10:27),male,,,1,91
Diklah_1,Diklah,,son of Joktan (GEN 10:27),male,,,1,92
Obal_1,Obal,,son of Joktan (GEN 10:28),male,,,1,93
Abimael_1,Abimael,,son of Joktan (GEN 10:28),male,,,1,94
Sheba_2,Sheba,,son of Joktan (GEN 10:28),male,,,2,95
Ophir_1,Ophir,,son of Joktan (GEN 10:29),male,,,1,96
Havilah_2,Havilah,,son of Joktan (GEN 10:29),male,,,2,97
Jobab_1,Jobab,,son of Joktan (GEN 10:29),male,,,1,98
Reu_1,Reu,,son of Peleg (GEN 11:19),male,,,1,99
Serug_1,Serug,,son of Reu (GEN 11:20),male,,,1,100
Nahor_1,Nahor,,son of Serug (GEN 11:22),male,,,1,101
Terah_1,Terah,,son of Terah (GEN 11:24),male,,,1,102
Abram_1,Abram,,son of Terah (GEN 11:26),male,,,1,103
Nahor_2,Nahor,,son of Terah (GEN 11:26),male,,,2,104
Haran_1,Haran,,son of Terah (GEN 11:26),male,,,1,105
Lot_1,Lot,,"son of Haran (GEN 11:27), nephew of Abram (GEN 12:5)",male,,,1,106
Sarai_1,Sarai,,Abram's wife (11:29),female,,,1,107
Milcah_1,Milcah,,"Nahor's wife (and niece), the daughter of Haran (GEN 11:29)",female,,,1,108
Iscah_1,Iscah,,daughter of Haran (GEN 11:29),female,,,1,109
Pharaoh_1,Pharaoh,,who took Sarai (GEN 12:15),male,,,1,110
Amraphel_1,Amraphel,,King of Shinar (GEN 14:1),male,,,1,111
Arioch_1,Arioch,,King of Ellasar (GEN 14:1),male,,,1,112
Chedorlaomer_1,Chedorlaomer,,King of Elam (GEN 14:1),male,,,1,113
Tidal_1,Tidal,,King of Goiim (GEN 14:1),male,,,1,114
Bera_1,Bera,,King of Sodom (GEN 14:2),male,,,1,115
Birsha_1,Birsha,,King of Gomorrah (GEN 14:2),male,,,1,116
Shinab_1,Shinab,,King of Admah (GEN 14:2),male,,,1,117
Shemeber_1,Shemeber,,King of Zeboiim (GEN 14:2),male,,,1,118
King of Bela_1,King of Bela,,"King of Bela (that is, Zoar) (GEN 14:2)",male,,,1,119
Mamre_1,Mamre,,the Amorite (GEN 14:13),male,Amorite,,1,120
Eshcol_1,Eshcol,,the Amorite (GEN 14:13),male,Amorite,,1,121
Aner_1,Aner,,the Amorite (GEN 14:13),male,Amorite,,1,122
Melchizedek_1,Melchizedek,,"King of Salem, a priest of G-d Most High (GEN 14:18)",male,,,1,123
Eliezer_1,Eliezer,,of Damascus (GEN 15:2),male,,"Possibly the ""servant"" who went to find Isaac a wife in Genesis 24?",1,124
Hagar_1,Hagar,,the Egyptian servant of Sarai (GEN 16:1),female,,,1,125
the angel of the LORD_1,the angel of the LORD,,"definite article ""the"" angel (GEN 16:7, GEN 22:11, EXO 3:2, NUM 22:22, JDG 2:1, etc.)",male,,,1,126
Ishmael_1,Ishmael,,son of Abram and Hagar (GEN 16:15),male,,,1,127
Isaac_1,Isaac,,son of Abraham and Sarah (GEN 17:21),male,,,1,128
Wife of Lot_1,Wife of Lot,,became a pillar (not a statue) of salt (GEN 19:26),female,,,1,129
Firstborn of Lot_1,Firstborn of Lot,,mother of Moab (GEN 19:37),female,,,1,130
